crop,uscs_units,uscs_units_abbrv,yield_description,lb_per_unit,kg_per_uscs_unit,si_units,prod_output,old_moisture,USDA_moisture,standard_moisture,standard_dm,last_updated,yield_notes,ton_per_load,kg_per_load,transport_updated,transport_sources,residue_N_a,residue_N_b,residue_N_units,harvest_index,residue_N_HI_source
Other grains,,,,,,kg,,,,0.14,0.86,3/10/2025,,,,,,0.006,0.009,ton N / ton DM,,USDA GHG Book Ch 3
Peanuts,lb,lb,Pounds,1,0.453592,kg,Grain or seed,0.07,0.09,0.09,0.91,3/10/2025,,23,20865,1/23/2025,McCarty et al 2014,0.016,0.014,ton N / ton DM,0.4,USDA GHG Book Ch 3
Potatoes,cwt,cwt,Hundredweight,100,45.3592,kg,Tuber,,0.8,0.8,0.2,3/10/2025,Moisture from USDA GHG book 3-3,27,24494,1/23/2025,UGA-Density of Agricultural Products.pdf,0.019,0.019,ton N / ton DM,0.5,USDA GHG Book Ch 3
Rice,cwt,cwt,Hundredweight,100,45.3592,kg,Grain or seed,0.14,0.09,0.14,0.86,3/10/2025,"Old note: Rice users also have the option of reporting yield in Barrels, Bushels or Short tons, in which case a conversion is required to standardize to cwt/acre.",27,24494,1/23/2025,UGA-Density of Agricultural Products.pdf,0.007,0.009,ton N / ton DM,0.42,USDA GHG Book Ch 3
Rye,,,,,,kg,,,0.1,0.14,0.86,3/10/2025,"Moisture from USDA GHG book 3-3. We don't have Rye yet in the platform, but sources say 14%.",,,1/23/2025,,,,ton N / ton DM,0.5,USDA GHG Book Ch 3
Sorghum,bushel,bu,Bushels of grain,56,25.401152,kg,Grain or seed,0.14,0.14,0.14,0.86,3/10/2025,,27,24494,1/23/2025,UGA-Density of Agricultural Products.pdf,0.007,0.006,ton N / ton DM,0.44,USDA GHG Book Ch 3
Soybeans,bushel,bu,Bushels of seed,60,27.21552,kg,Grain or seed,0.13,0.125,0.13,0.87,3/10/2025,,27,24494,1/23/2025,UGA-Density of Agricultural Products.pdf,0.008,0.008,ton N / ton DM,0.42,USDA GHG Book Ch 3
Sugar beets,ton sugar,ton,Tons of sugar,2000,907.184,kg,Root,,0.85,0.85,0.15,3/10/2025,Moisture from USDA GHG book. Tons of beet multiplied by percent of sugar,27,24494,1/23/2025,,0.019,0.014,ton N / ton DM,0.4,USDA GHG Book Ch 3
Wheat (durum),bushel,bu,Bushels of grain,60,27.21552,kg,Grain or seed,0.135,0.135,0.135,0.865,3/10/2025,,27,24494,1/23/2025,,0.006,0.009,ton N / ton DM,0.39,USDA GHG Book Ch 3
Wheat (spring),bushel,bu,Bushels of grain,60,27.21552,kg,Grain or seed,0.135,0.135,0.135,0.865,3/10/2025,,27,24494,1/23/2025,,0.006,0.009,ton N / ton DM,0.39,USDA GHG Book Ch 3
Wheat (winter),bushel,bu,Bushels of grain,60,27.21552,kg,Grain or seed,0.135,0.135,0.135,0.865,3/10/2025,,27,24494,1/23/2025,,0.006,0.009,ton N / ton DM,0.39,USDA GHG Book Ch 3
